,Equation,Solution,Difficulty
0,4x + 4 = 32,x = 7,Easy
1,6x - 10 = 20,x = 5,Easy
2,5x + 5 = 45,x = 8,Easy
3,9x + 10 = 19,x = 1,Easy
4,2x - 8 = 8,x = 8,Easy
5,5x + 6 = 31,x = 5,Easy
6,9x + 3 = 39,x = 4,Easy
7,5x - 1 = 34,x = 7,Easy
8,8x + 3 = 35,x = 4,Easy
9,9x - 3 = 24,x = 3,Easy
10,6x - 9 = 21,x = 5,Easy
11,5x - 2 = 23,x = 5,Easy
12,2x + 8 = 20,x = 6,Easy
13,9x + 7 = 88,x = 9,Easy
14,7x - 1 = 34,x = 5,Easy
15,10x + 1 = 31,x = 3,Easy
16,10x + 6 = 86,x = 8,Easy
17,2x + 2 = 20,x = 9,Easy
18,1x + 4 = 5,x = 1,Easy
19,6x + 8 = 50,x = 7,Easy
20,8x + 4 = 52,x = 6,Easy
21,5x + 2 = 32,x = 6,Easy
22,5x - 9 = 41,x = 10,Easy
23,3x - 6 = 15,x = 7,Easy
24,7x + 10 = 80,x = 10,Easy
25,5x + 4 = 14,x = 2,Easy
26,10x - 6 = 74,x = 8,Easy
27,1x - 10 = -6,x = 4,Easy
28,5x + 9 = 19,x = 2,Easy
29,1x + 9 = 14,x = 5,Easy
30,6x + 2 = 32,x = 5,Easy
31,9x - 4 = 86,x = 10,Easy
32,7x - 5 = 16,x = 3,Easy
33,1x - 9 = -3,x = 6,Easy
34,6x + 2 = 38,x = 6,Easy
35,2x + 0 = 12,x = 6,Easy
36,3x - 9 = 6,x = 5,Easy
37,2x + 2 = 16,x = 7,Easy
38,7x - 2 = 68,x = 10,Easy
39,6x + 8 = 56,x = 8,Easy
41,10x - 2 = 38,x = 4,Easy
42,3x + 10 = 19,x = 3,Easy
43,3x + 0 = 3,x = 1,Easy
44,9x + 8 = 44,x = 4,Easy
45,4x + 3 = 43,x = 10,Easy
46,8x - 7 = 33,x = 5,Easy
47,10x + 6 = 56,x = 5,Easy
48,1x - 1 = 5,x = 6,Easy
49,1x - 3 = 7,x = 10,Easy
50,10x + 10 = 90,x = 8,Easy
51,10x - 10 = 80,x = 9,Easy
52,3x + 6 = 24,x = 6,Easy
53,9x - 5 = 22,x = 3,Easy
54,10x + 0 = 40,x = 4,Easy
55,10x - 8 = 12,x = 2,Easy
56,2x - 7 = 11,x = 9,Easy
57,2x + 0 = 8,x = 4,Easy
58,8x - 8 = 56,x = 8,Easy
59,10x + 3 = 103,x = 10,Easy
60,2x + 1 = 15,x = 7,Easy
61,2x - 2 = 18,x = 10,Easy
62,6x + 4 = 46,x = 7,Easy
63,10x - 8 = 32,x = 4,Easy
64,8x - 7 = 1,x = 1,Easy
65,8x - 9 = 55,x = 8,Easy
66,10x - 7 = 93,x = 10,Easy
67,7x + 3 = 52,x = 7,Easy
68,8x - 10 = 46,x = 7,Easy
69,7x - 8 = 62,x = 10,Easy
70,5x + 3 = 28,x = 5,Easy
72,4x + 6 = 30,x = 6,Easy
73,9x - 9 = 63,x = 8,Easy
74,10x + 0 = 80,x = 8,Easy
75,4x + 2 = 22,x = 5,Easy
76,3x - 6 = 24,x = 10,Easy
77,1x + 2 = 3,x = 1,Easy
78,7x + 8 = 50,x = 6,Easy
79,3x + 5 = 17,x = 4,Easy
80,7x - 1 = 13,x = 2,Easy
81,8x - 3 = 21,x = 3,Easy
84,3x + 6 = 15,x = 3,Easy
85,2x + 5 = 25,x = 10,Easy
86,10x - 1 = 19,x = 2,Easy
87,7x - 10 = 18,x = 4,Easy
88,5x - 10 = 5,x = 3,Easy
89,7x + 4 = 46,x = 6,Easy
90,5x + 10 = 35,x = 5,Easy
91,3x + 2 = 5,x = 1,Easy
92,10x + 9 = 79,x = 7,Easy
94,5x - 1 = 29,x = 6,Easy
95,10x - 7 = 63,x = 7,Easy
96,7x + 5 = 40,x = 5,Easy
97,10x + 4 = 44,x = 4,Easy
98,4x - 1 = 35,x = 9,Easy
99,5x + 9 = 14,x = 1,Easy
100,5x - 4 = 11,x = 3,Easy
101,3x - 4 = 20,x = 8,Easy
102,1x + 5 = 6,x = 1,Easy
104,1x + 4 = 12,x = 8,Easy
105,7x - 7 = 14,x = 3,Easy
106,6x + 6 = 12,x = 1,Easy
107,9x - 7 = 56,x = 7,Easy
109,7x - 8 = -1,x = 1,Easy
110,10x + 1 = 101,x = 10,Easy
111,9x - 2 = 61,x = 7,Easy
112,7x + 9 = 72,x = 9,Easy
113,6x + 3 = 9,x = 1,Easy
114,3x + 1 = 25,x = 8,Easy
115,10x - 6 = 64,x = 7,Easy
116,5x - 3 = 42,x = 9,Easy
117,6x + 5 = 47,x = 7,Easy
118,9x + 1 = 10,x = 1,Easy
120,3x - 10 = 2,x = 4,Easy
121,10x - 3 = 27,x = 3,Easy
122,4x + 10 = 26,x = 4,Easy
123,2x - 10 = 2,x = 6,Easy
124,7x + 9 = 16,x = 1,Easy
125,1x + 1 = 5,x = 4,Easy
126,9x - 9 = 27,x = 4,Easy
